"scenario_id","method","median_g","boundary_hit_frac","g_mode","est_version","phase","reps","test_n","B_boot","delta_main","seed_base","generated"
"n100_p12_rho0.90_exponential","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","RTE_CV",0,0.837,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","RTE_Stable",0,0.94,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_RTE_CV",0,0.83,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_RTE_Stable",0,0.965,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","RTE_Oracle",0,0.993,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_exponential","PMM2_RTE_Oracle",0,0.99,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","Ridge_CV",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
"n100_p12_rho0.90_gamma2","Ridge_Stable",1,NA,"deployable","0.5.0-pmmrte","final",1000,5000,150,0.03,20260612,"2026-06-27 10:00:26 EEST"
