"scenario_id","method","median_g","boundary_hit_frac","g_mode","est_version","phase","reps","test_n","B_boot","delta_main","seed_base","generated"
"n100_p12_rho0.90_normal","RTE_CV",0,0.836666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_normal","RTE_Stable",0,0.966666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_normal","PMM3_RTE_CV",0,0.846666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_normal","PMM3_RTE_Stable",0,0.983333333333333,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_normal","RTE_Oracle",0,0.996666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_normal","PMM3_RTE_Oracle",0,0.996666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_tn1.5","RTE_CV",0,0.846666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_tn1.5","RTE_Stable",0,0.97,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_tn1.5","PMM3_RTE_CV",0,0.863333333333333,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_tn1.5","PMM3_RTE_Stable",0,0.956666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_tn1.5","RTE_Oracle",0,0.993333333333333,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_tn1.5","PMM3_RTE_Oracle",0,0.996666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_uniform","RTE_CV",0,0.826666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_uniform","RTE_Stable",0,0.956666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_uniform","PMM3_RTE_CV",0,0.836666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_uniform","PMM3_RTE_Stable",0,0.976666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_uniform","RTE_Oracle",0,0.996666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.90_uniform","PMM3_RTE_Oracle",0,0.99,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_normal","RTE_CV",0,0.82,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_normal","RTE_Stable",0,0.923333333333333,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_normal","PMM3_RTE_CV",0,0.796666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_normal","PMM3_RTE_Stable",0,0.906666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_normal","RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_normal","PMM3_RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_tn1.5","RTE_CV",0,0.756666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_tn1.5","RTE_Stable",0,0.896666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_tn1.5","PMM3_RTE_CV",0,0.8,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_tn1.5","PMM3_RTE_Stable",0,0.893333333333333,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_tn1.5","RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_tn1.5","PMM3_RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_uniform","RTE_CV",0,0.786666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_uniform","RTE_Stable",0,0.886666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_uniform","PMM3_RTE_CV",0,0.783333333333333,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_uniform","PMM3_RTE_Stable",0,0.916666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_uniform","RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p12_rho0.99_uniform","PMM3_RTE_Oracle",0,1,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.90_normal","RTE_CV",0,0.67,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.90_normal","RTE_Stable",0,0.926666666666667,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
"n100_p4_rho0.90_normal","PMM3_RTE_CV",0,0.663333333333333,"deployable","0.5.0-pmmrte","final",300,5000,150,0.03,20260612,"2026-06-27 12:02:54 EEST"
