"k","g","lambda","s"
0.1,0,0.01,0.0009000900090009
0.1,0,0.011015819387359,0.00108116205146865
0.1,0,0.0121348276774914,0.00129744315054689
0.1,0,0.0133675069991971,0.00155541136934468
0.1,0,0.0147254042762412,0.00186262884262492
0.1,0,0.0162212393912917,0.00222789283698432
0.1,0,0.0178690243373583,0.00266139964022427
0.1,0,0.0196841944728661,0.00317492013688042
0.1,0,0.0216837531098744,0.00378198519178968
0.1,0,0.023886430789846,0.00449807810791256
0.1,0,0.0263128607389594,0.00534083046377388
0.1,0,0.0289857721465107,0.00633021659754411
0.1,0,0.0319302030769103,0.00748874093009672
0.1,0,0.0351737350096938,0.00884161126268524
0.1,0,0.0387467512045613,0.0104168902117536
0.1,0,0.0426827213116382,0.0122456161265426
0.1,0,0.0470185148929985,0.014361884248304
0.1,0,0.0517947467923121,0.0168028785799261
0.1,0,0.0570561575878102,0.0196088449929049
0.1,0,0.062852032692401,0.0228229965324525
0.1,0,0.0692366640267873,0.0264913426891307
0.1,0,0.0762698585902344,0.0306624355532955
0.1,0,0.0840174986929434,0.0353870271954628
0.1,0,0.0925521590979135,0.0407176342417011
0.1,0,0.101953786853273,0.0467080073550467
0.1,0,0.112310450183295,0.0534125051232611
0.1,0,0.123719163453216,0.0608853736548601
0.1,0,0.136286795935577,0.0691799350121681
0.1,0,0.150131072890817,0.0783476895301174
0.1,0,0.165381678339567,0.088437339201579
0.1,0,0.182181469856698,0.0994937418074545
0.1,0,0.200687816766497,0.111556808491483
0.1,0,0.221074074274313,0.12466036115198
0.1,0,0.243531207343342,0.138830970396344
0.1,0,0.268269579527973,0.154086799813225
0.1,0,0.295520923520289,0.170436487746165
0.1,0,0.325540511868503,0.187878103219272
0.1,0,0.358609548201183,0.20639821762562
0.1,0,0.395037801356664,0.225971137566903
0.1,0,0.435166507092442,0.246558346079723
0.1,0,0.479371564555822,0.268108198662572
0.1,0,0.528067057458264,0.290555916406252
0.1,0,0.581709132937436,0.313823910733886
0.1,0,0.6408002744416,0.337822462709995
0.1,0,0.705894008661875,0.362450764922915
0.1,0,0.777600090603804,0.38759831636069
0.1,0,0.85659021536855,0.413146641676176
0.1,0,0.943604310147889,0.438971287276088
0.1,0,1.03945746537226,0.464944029435405
0.1,0,1.14504756993828,0.490935215761432
0.1,0,1.26136372203744,0.516816152194269
0.1,0,1.38949549437314,0.542461444282557
0.1,0,1.53064314055636,0.56775120409813
0.1,0,1.68612883828688,0.592573042612094
0.1,0,1.85740907463857,0.616823780821915
0.1,0,2.04608828946601,0.640410830097719
0.1,0,2.25393390473479,0.663253211515825
0.1,0,2.48289288056033,0.685282203689967
0.1,0,2.73510995304121,0.70644162722814
0.1,0,3.01294772472699,0.726687790142462
0.1,0,3.31900879591468,0.745989131409013
0.1,0,3.6561601440852,0.764325608926905
0.1,0,4.0275599798503,0.781687883281498
0.1,0,4.43668733097862,0.798076350241336
0.1,0,4.88737463162443,0.813500073331427
0.1,0,5.38384362203349,0.827975663798415
0.1,0,5.93074489501057,0.841526149543575
0.1,0,6.53320145959378,0.854179867851344
0.1,0,7.19685673001152,0.865969409607053
0.1,0,7.92792738945061,0.876930635684524
0.1,0,8.73326162382844,0.88710177966985
0.1,0,9.62040327106476,0.896522645322523
0.1,0,10.5976624867607,0.905233902296837
0.1,0,11.6741935882346,0.91327647970008
0.1,0,12.8600808061057,0.920691054024126
0.1,0,14.1664327466902,0.927517625780026
0.1,0,15.6054864500707,0.933795177688067
0.1,0,17.1907220185857,0.939561406412095
0.1,0,18.9369888895036,0.944852519458366
0.1,0,20.8606449347196,0.949703088873793
